table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Resident Population for Counties in Tennessee: April 1, 2020 to July 1, 2025",,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,
,,2020,2021,2022,2023,2024,2025
Tennessee,"6,912,319","6,927,736","6,966,687","7,063,325","7,153,029","7,251,291","7,315,076"
".Anderson County, Tennessee","77,170","77,347","77,678","79,042","80,369","81,574","82,066"
".Bedford County, Tennessee","50,237","50,381","51,168","52,045","53,249","54,458","55,273"
".Benton County, Tennessee","15,858","15,847","15,825","15,982","16,160","16,105","16,183"
".Bledsoe County, Tennessee","14,907","14,945","14,837","14,755","14,996","15,573","15,920"
".Blount County, Tennessee","135,290","135,666","137,641","139,838","141,407","142,272","143,820"
".Bradley County, Tennessee","108,620","108,832","109,783","110,790","112,196","114,114","115,465"
".Campbell County, Tennessee","39,280","39,310","39,483","39,576","40,228","40,325","40,290"
".Cannon County, Tennessee","14,508","14,564","14,550","14,781","15,038","15,157","15,296"
".Carroll County, Tennessee","28,432","28,427","28,298","28,428","29,007","29,203","29,200"
".Carter County, Tennessee","56,365","56,391","56,128","56,528","57,047","57,368","57,361"
".Cheatham County, Tennessee","41,023","41,088","41,455","41,723","42,223","42,616","42,778"
".Chester County, Tennessee","17,348","17,379","17,481","17,577","17,712","17,841","17,994"
".Claiborne County, Tennessee","32,041","32,075","32,047","32,371","32,667","32,940","33,229"
".Clay County, Tennessee","7,579","7,588","7,586","7,621","7,666","7,810","7,821"
".Cocke County, Tennessee","35,997","36,043","36,374","36,804","37,359","37,736","37,889"
".Coffee County, Tennessee","57,873","58,132","59,002","59,660","60,562","61,473","62,419"
".Crockett County, Tennessee","13,910","13,907","13,983","13,873","13,967","13,963","14,006"
".Cumberland County, Tennessee","61,153","61,381","62,407","63,524","64,817","65,630","66,300"
".Davidson County, Tennessee","715,887","716,153","701,450","712,156","720,989","736,623","745,904"
".Decatur County, Tennessee","11,434","11,429","11,392","11,527","11,685","11,738","11,820"
".DeKalb County, Tennessee","20,074","20,186","20,503","20,987","21,301","21,684","21,873"
".Dickson County, Tennessee","54,316","54,452","55,189","55,777","56,882","57,804","58,662"
".Dyer County, Tennessee","36,799","36,710","36,621","36,415","36,495","36,484","36,320"
".Fayette County, Tennessee","41,717","41,868","42,610","43,294","44,130","44,542","45,071"
".Fentress County, Tennessee","18,487","18,533","18,839","19,318","19,651","20,021","20,322"
".Franklin County, Tennessee","42,767","42,842","43,197","44,166","44,724","45,191","45,579"
".Gibson County, Tennessee","50,409","50,443","50,499","50,891","51,245","51,645","51,779"
".Giles County, Tennessee","30,345","30,346","30,428","30,572","30,879","31,016","31,433"
".Grainger County, Tennessee","23,532","23,572","23,794","24,208","24,713","25,098","25,739"
".Greene County, Tennessee","70,153","70,339","70,582","71,286","72,518","73,345","73,831"
".Grundy County, Tennessee","13,526","13,541","13,577","13,787","13,954","14,118","14,116"
".Hamblen County, Tennessee","64,507","64,553","64,390","65,303","66,582","68,177","68,843"
".Hamilton County, Tennessee","366,840","367,886","369,725","375,738","381,087","387,268","390,833"
".Hancock County, Tennessee","6,661","6,628","6,791","6,839","6,974","7,046","7,075"
".Hardeman County, Tennessee","25,460","25,435","25,259","25,483","25,555","25,527","25,274"
".Hardin County, Tennessee","26,968","26,948","26,977","27,215","27,433","27,672","27,983"
".Hawkins County, Tennessee","56,718","56,715","57,200","57,919","58,587","59,422","59,559"
".Haywood County, Tennessee","17,864","17,827","17,666","17,468","17,377","17,211","17,042"
".Henderson County, Tennessee","27,844","27,833","27,918","27,912","28,083","28,229","28,518"
".Henry County, Tennessee","32,197","32,149","32,252","32,328","32,504","32,920","32,896"
".Hickman County, Tennessee","24,910","24,972","25,080","25,466","25,794","25,913","26,219"
".Houston County, Tennessee","8,273","8,295","8,298","8,232","8,391","8,525","8,479"
".Humphreys County, Tennessee","18,989","18,998","19,179","19,039","19,286","19,542","19,646"
