word,count
trees,7551
road,6536
down,6146
county,4325
inches,4321
snow,3634
across,3280
damage,3070
blown,3021
winds,2657
near,2217
several,2076
degrees,2054
fell,2010
flooding,1915
heat,1820
severe,1767
highway,1625
along,1539
tornado,1534
power,1524
home,1446
thunderstorm,1436
lines,1298
area,1204
conditions,1133
drought,1035
hail,1034
roof,1004
large,1000
values,977
numerous,948
one,935
creek,867
rough,856
gust,829
mph,804
caused,791
drive,787
knocked,767
size,757
water,753
around,734
east,728
street,663
uprooted,659
snapped,645
reached,645
south,644
maximum,637
two,636
damaged,614
lane,613
north,581
blocked,561
including,559
hill,557
also,552
rain,548
off,544
onto,520
between,516
exceeded,514
west,502
total,501
closed,500
multiple,494
old,486
continued,481
quarter,473
minor,468
northeast,463
heavy,436
house,435
due,425
destroyed,410
crossed,394
twitter,393
showed,393
roadways,392
river,379
barn,378
for,371
park,364
springs,361
photos,348
intersection,346
avenue,344
tspotter,339
hours,337
pike,337
facebook,332
powerlines,329
indices,326
southeast,319
moved,319
three,317
end,317
limbs,313
extreme,311
city,310
high,303
poles,303
resulted,298
flash,296
mountain,295
snowfall,294
ice,282
portions,282
half,280
branch,280
media,279
month,277
recorded,276
coop,275
nashville,274
car,271
radar,271
hollow,270
feet,267
vehicle,264
peak,260
outages,251
significant,248
early,247
low,246
afternoon,244
temperatures,243
touched,241
suffered,239
improved,239
falling,238
path,234
part,232
southern,229
airport,228
emergency,226
lifted,224
which,221
freezing,220
social,219
november,219
strong,216
tennessee,215
franklin,213
sleet,211
covered,207
out,206
another,204
small,198
school,197
white,196
light,193
northern,190
well,188
northwest,186
mount,185
excess,185
chill,185
received,184
cumberland,182
october,181
ridge,180
southwest,179
amounts,179
valley,179
straight,179
december,179
storm,177
observed,177
clarksville,176
injuries,176
state,173
side,173
struck,173
dozens,172
outbuildings,172
four,171
weather,170
management,170
widespread,170
church,167
lake,165
sized,164
evening,164
about,163
fire,162
dropped,162
dickson,161
metal,160
unknown,160
accumulations,157
lebanon,156
moderate,155
impassable,154
zero,154
yards,153
community,150
grove,150
mobile,148
tracked,146
wilson,145
rainfall,144
nickel,144
nearby,142
rescue,142
cove,141
outbuilding,141
september,141
farm,140
building,139
mill,139
chapel,139
businesses,139
middle,137
wide,135
developed,135
oak,134
bridge,134
jackson,133
dry,133
january,131
spring,131
parkway,127
davidson,125
structures,124
stage,124
dollar,122
crossville,122
lightning,122
new,120
non,120
golf,119
began,119
blew,119
juliet,118
cookeville,117
morning,117
impacted,117
five,116
washed,116
video,116
long,116
ball,115
affected,115
far,115
center,114
many,114
eastern,113
sparta,112
broken,112
cedar,111
lawrence,111
found,111
putnam,110
murfreesboro,110
tower,109
additional,109
powerful,108
smith,107
interstate,106
tenth,106
couple,106
accumulated,104
sustained,104
abnormally,104
hickory,103
throughout,102
day,102
completely,102
downtown,100
blowing,100
noted,100
mix,99
field,98
pleasant,97
eastward,97
entire,97
closure,95
rock,95
main,95
jamestown,94
lawrenceburg,94
range,94
shed,93
rutherford,93
surfaces,92
western,91
six,91
forest,91
scattered,90
robertson,90
montgomery,90
gallatin,90
carport,90
satellite,90
hickman,89
siding,89
climbed,89
buildings,88
fallen,88
fork,88
blvd,88
brief,88
camp,87
imagery,87
stewart,86
town,86
weakened,86
swath,86
shingles,86
awos,86
debris,86
highest,86
topped,86
maury,85
nolensville,85
top,85
diameter,85
greater,85
point,85
springfield,84
depth,84
travel,84
hwy,83
bend,83
worsened,83
sumner,82
williamson,82
shelbyville,82
subdivision,82
lying,82
heavily,82
livingston,81
major,81
red,80
boulevard,80
produced,80
lincoln,80
conducted,80
property,80
persisted,80
marshall,79
central,79
elementary,79
extent,79
much,78
columbia,78
kingston,77
ene,77
overton,77
lost,77
mid,77
led,77
cheatham,76
fence,76
deteriorated,76
fentress,75
garage,75
ferry,75
big,75
especially,75
manchester,74
crested,74
structural,73
carthage,73
lewisburg,73
bedford,73
landing,73
downburst,73
trace,72
monterey,72
coffee,72
locations,72
perry,71
union,71
microburst,71
reportedly,70
green,70
first,70
brentwood,70
warren,69
may,69
gap,69
elevated,69
stranded,69
least,69
fairview,68
cannon,68
length,68
houses,68
wall,68
neighborhood,68
cdt,67
bluff,67
apartment,67
woods,67
place,67
collapsed,67
dover,66
ranged,66
period,66
madison,66
upper,66
hendersonville,65
less,65
people,65
remained,64
february,64
dime,64
penny,64
mainly,64
partially,64
grundy,63
giles,63
moore,63
hall,62
wnw,62
corner,62
way,62
ground,62
july,62
employee,61
lewis,61
court,61
weak,61
quickly,61
plains,60
front,60
hermitage,60
memphis,60
bell,60
houston,60
dissipated,60
determined,60
international,59
late,59
traffic,59
banks,59
ping,58
pong,58
circle,58
mcminnville,58
portland,58
humphreys,58
utility,58
college,58
local,58
associated,58
resolution,58
smithville,57
national,57
office,57
without,57
porch,57
approached,57
away,56
injured,56
residents,56
observations,56
macon,55
glaze,55
trail,55
customers,55
residence,55
lower,55
knoxville,54
clarkrange,54
lot,54
elevations,54
back,52
windows,52
cloud,52
loop,52
reporting,52
removed,51
accidents,51
belle,51
meade,51
view,51
present,51
forced,51
rural,51
wintry,51
issuance,50
pea,50
department,50
nearly,50
hundreds,50
user,50
