county_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Anderson County, Tennessee",75528,76056,76287,76978,77347,77678,79042,80369,81574,82066
"Bedford County, Tennessee",47442,48211,49146,49713,50381,51168,52045,53249,54458,55273
"Benton County, Tennessee",16082,15993,16246,16160,15847,15825,15982,16160,16105,16183
"Bledsoe County, Tennessee",14738,14895,14883,15064,14945,14837,14755,14996,15573,15920
"Blount County, Tennessee",128264,129999,131331,133088,135666,137641,139838,141407,142272,143820
"Bradley County, Tennessee",104390,105421,107050,108110,108832,109783,110790,112196,114114,115465
"Campbell County, Tennessee",39784,39791,39795,39842,39310,39483,39576,40228,40325,40290
"Cannon County, Tennessee",13876,14157,14440,14678,14564,14550,14781,15038,15157,15296
"Carroll County, Tennessee",27901,27807,27975,27767,28427,28298,28428,29007,29203,29200
"Carter County, Tennessee",56473,56510,56417,56391,56391,56128,56528,57047,57368,57361
"Cheatham County, Tennessee",39775,40366,40502,40667,41088,41455,41723,42223,42616,42778
"Chester County, Tennessee",17130,17154,17245,17297,17379,17481,17577,17712,17841,17994
"Claiborne County, Tennessee",31634,31661,31850,31959,32075,32047,32371,32667,32940,33229
"Clay County, Tennessee",7654,7663,7677,7615,7588,7586,7621,7666,7810,7821
"Cocke County, Tennessee",35234,35528,35858,36004,36043,36374,36804,37359,37736,37889
"Coffee County, Tennessee",54537,55016,55877,56520,58132,59002,59660,60562,61473,62419
"Crockett County, Tennessee",14448,14436,14296,14230,13907,13983,13873,13967,13963,14006
"Cumberland County, Tennessee",58580,59023,59738,60520,61381,62407,63524,64817,65630,66300
"Davidson County, Tennessee",685829,687159,690516,694144,716153,701450,712156,720989,736623,745904
"Decatur County, Tennessee",11735,11732,11699,11663,11429,11392,11527,11685,11738,11820
"DeKalb County, Tennessee",19444,19876,20133,20490,20186,20503,20987,21301,21684,21873
"Dickson County, Tennessee",51900,52774,53446,53948,54452,55189,55777,56882,57804,58662
"Dyer County, Tennessee",37542,37339,37286,37159,36710,36621,36415,36495,36484,36320
"Fayette County, Tennessee",39703,40150,40556,41133,41868,42610,43294,44130,44542,45071
"Fentress County, Tennessee",18040,18214,18322,18523,18533,18839,19318,19651,20021,20322
"Franklin County, Tennessee",41518,41623,41935,42208,42842,43197,44166,44724,45191,45579
"Gibson County, Tennessee",49250,49255,49171,49133,50443,50499,50891,51245,51645,51779
"Giles County, Tennessee",29165,29379,29446,29464,30346,30428,30572,30879,31016,31433
"Grainger County, Tennessee",23095,23106,23137,23320,23572,23794,24208,24713,25098,25739
"Greene County, Tennessee",68529,68821,69164,69069,70339,70582,71286,72518,73345,73831
"Grundy County, Tennessee",13276,13332,13348,13427,13541,13577,13787,13954,14118,14116
"Hamblen County, Tennessee",63681,64062,64629,64934,64553,64390,65303,66582,68177,68843
"Hamilton County, Tennessee",357778,361032,364293,367804,367886,369725,375738,381087,387268,390833
"Hancock County, Tennessee",6583,6593,6561,6620,6628,6791,6839,6974,7046,7075
"Hardeman County, Tennessee",25584,25488,25276,25050,25435,25259,25483,25555,25527,25274
"Hardin County, Tennessee",25740,25738,25693,25652,26948,26977,27215,27433,27672,27983
"Hawkins County, Tennessee",56565,56620,56713,56786,56715,57200,57919,58587,59422,59559
"Haywood County, Tennessee",17822,17607,17347,17304,17827,17666,17468,17377,17211,17042
"Henderson County, Tennessee",27855,27851,27983,28117,27833,27918,27912,28083,28229,28518
