county_state,year,population
"ANDERSON COUNTY, TENNESSEE",2016,75528
"ANDERSON COUNTY, TENNESSEE",2017,76056
"ANDERSON COUNTY, TENNESSEE",2018,76287
"ANDERSON COUNTY, TENNESSEE",2019,76978
"ANDERSON COUNTY, TENNESSEE",2020,77347
"ANDERSON COUNTY, TENNESSEE",2021,77678
"ANDERSON COUNTY, TENNESSEE",2022,79042
"ANDERSON COUNTY, TENNESSEE",2023,80369
"ANDERSON COUNTY, TENNESSEE",2024,81574
"ANDERSON COUNTY, TENNESSEE",2025,82066
"BEDFORD COUNTY, TENNESSEE",2016,47442
"BEDFORD COUNTY, TENNESSEE",2017,48211
"BEDFORD COUNTY, TENNESSEE",2018,49146
"BEDFORD COUNTY, TENNESSEE",2019,49713
"BEDFORD COUNTY, TENNESSEE",2020,50381
"BEDFORD COUNTY, TENNESSEE",2021,51168
"BEDFORD COUNTY, TENNESSEE",2022,52045
"BEDFORD COUNTY, TENNESSEE",2023,53249
"BEDFORD COUNTY, TENNESSEE",2024,54458
"BEDFORD COUNTY, TENNESSEE",2025,55273
"BENTON COUNTY, TENNESSEE",2016,16082
"BENTON COUNTY, TENNESSEE",2017,15993
"BENTON COUNTY, TENNESSEE",2018,16246
"BENTON COUNTY, TENNESSEE",2019,16160
"BENTON COUNTY, TENNESSEE",2020,15847
"BENTON COUNTY, TENNESSEE",2021,15825
"BENTON COUNTY, TENNESSEE",2022,15982
"BENTON COUNTY, TENNESSEE",2023,16160
"BENTON COUNTY, TENNESSEE",2024,16105
"BENTON COUNTY, TENNESSEE",2025,16183
"BLEDSOE COUNTY, TENNESSEE",2016,14738
"BLEDSOE COUNTY, TENNESSEE",2017,14895
"BLEDSOE COUNTY, TENNESSEE",2018,14883
"BLEDSOE COUNTY, TENNESSEE",2019,15064
"BLEDSOE COUNTY, TENNESSEE",2020,14945
"BLEDSOE COUNTY, TENNESSEE",2021,14837
"BLEDSOE COUNTY, TENNESSEE",2022,14755
"BLEDSOE COUNTY, TENNESSEE",2023,14996
"BLEDSOE COUNTY, TENNESSEE",2024,15573
"BLEDSOE COUNTY, TENNESSEE",2025,15920
"BLOUNT COUNTY, TENNESSEE",2016,128264
"BLOUNT COUNTY, TENNESSEE",2017,129999
"BLOUNT COUNTY, TENNESSEE",2018,131331
"BLOUNT COUNTY, TENNESSEE",2019,133088
"BLOUNT COUNTY, TENNESSEE",2020,135666
"BLOUNT COUNTY, TENNESSEE",2021,137641
"BLOUNT COUNTY, TENNESSEE",2022,139838
"BLOUNT COUNTY, TENNESSEE",2023,141407
"BLOUNT COUNTY, TENNESSEE",2024,142272
"BLOUNT COUNTY, TENNESSEE",2025,143820
"BRADLEY COUNTY, TENNESSEE",2016,104390
"BRADLEY COUNTY, TENNESSEE",2017,105421
"BRADLEY COUNTY, TENNESSEE",2018,107050
"BRADLEY COUNTY, TENNESSEE",2019,108110
"BRADLEY COUNTY, TENNESSEE",2020,108832
"BRADLEY COUNTY, TENNESSEE",2021,109783
"BRADLEY COUNTY, TENNESSEE",2022,110790
"BRADLEY COUNTY, TENNESSEE",2023,112196
