county_state,year,population
"ANDERSON, TENNESSEE",2016,75528
"ANDERSON, TENNESSEE",2017,76056
"ANDERSON, TENNESSEE",2018,76287
"ANDERSON, TENNESSEE",2019,76978
"ANDERSON, TENNESSEE",2020,77347
"ANDERSON, TENNESSEE",2021,77678
"ANDERSON, TENNESSEE",2022,79042
"ANDERSON, TENNESSEE",2023,80369
"ANDERSON, TENNESSEE",2024,81574
"ANDERSON, TENNESSEE",2025,82066
"BEDFORD, TENNESSEE",2016,47442
"BEDFORD, TENNESSEE",2017,48211
"BEDFORD, TENNESSEE",2018,49146
"BEDFORD, TENNESSEE",2019,49713
"BEDFORD, TENNESSEE",2020,50381
"BEDFORD, TENNESSEE",2021,51168
"BEDFORD, TENNESSEE",2022,52045
"BEDFORD, TENNESSEE",2023,53249
"BEDFORD, TENNESSEE",2024,54458
"BEDFORD, TENNESSEE",2025,55273
"BENTON, TENNESSEE",2016,16082
"BENTON, TENNESSEE",2017,15993
"BENTON, TENNESSEE",2018,16246
"BENTON, TENNESSEE",2019,16160
"BENTON, TENNESSEE",2020,15847
"BENTON, TENNESSEE",2021,15825
"BENTON, TENNESSEE",2022,15982
"BENTON, TENNESSEE",2023,16160
"BENTON, TENNESSEE",2024,16105
"BENTON, TENNESSEE",2025,16183
"BLEDSOE, TENNESSEE",2016,14738
"BLEDSOE, TENNESSEE",2017,14895
"BLEDSOE, TENNESSEE",2018,14883
"BLEDSOE, TENNESSEE",2019,15064
"BLEDSOE, TENNESSEE",2020,14945
"BLEDSOE, TENNESSEE",2021,14837
"BLEDSOE, TENNESSEE",2022,14755
"BLEDSOE, TENNESSEE",2023,14996
"BLEDSOE, TENNESSEE",2024,15573
"BLEDSOE, TENNESSEE",2025,15920
"BLOUNT, TENNESSEE",2016,128264
"BLOUNT, TENNESSEE",2017,129999
"BLOUNT, TENNESSEE",2018,131331
"BLOUNT, TENNESSEE",2019,133088
"BLOUNT, TENNESSEE",2020,135666
"BLOUNT, TENNESSEE",2021,137641
"BLOUNT, TENNESSEE",2022,139838
"BLOUNT, TENNESSEE",2023,141407
"BLOUNT, TENNESSEE",2024,142272
"BLOUNT, TENNESSEE",2025,143820
"BRADLEY, TENNESSEE",2016,104390
"BRADLEY, TENNESSEE",2017,105421
"BRADLEY, TENNESSEE",2018,107050
"BRADLEY, TENNESSEE",2019,108110
"BRADLEY, TENNESSEE",2020,108832
"BRADLEY, TENNESSEE",2021,109783
"BRADLEY, TENNESSEE",2022,110790
"BRADLEY, TENNESSEE",2023,112196
"BRADLEY, TENNESSEE",2024,114114
"BRADLEY, TENNESSEE",2025,115465
"CAMPBELL, TENNESSEE",2016,39784
"CAMPBELL, TENNESSEE",2017,39791
"CAMPBELL, TENNESSEE",2018,39795
"CAMPBELL, TENNESSEE",2019,39842
"CAMPBELL, TENNESSEE",2020,39310
"CAMPBELL, TENNESSEE",2021,39483
"CAMPBELL, TENNESSEE",2022,39576
"CAMPBELL, TENNESSEE",2023,40228
"CAMPBELL, TENNESSEE",2024,40325
"CAMPBELL, TENNESSEE",2025,40290
"CANNON, TENNESSEE",2016,13876
"CANNON, TENNESSEE",2017,14157
"CANNON, TENNESSEE",2018,14440
"CANNON, TENNESSEE",2019,14678
"CANNON, TENNESSEE",2020,14564
"CANNON, TENNESSEE",2021,14550
"CANNON, TENNESSEE",2022,14781
"CANNON, TENNESSEE",2023,15038
"CANNON, TENNESSEE",2024,15157
"CANNON, TENNESSEE",2025,15296
"CARROLL, TENNESSEE",2016,27901
"CARROLL, TENNESSEE",2017,27807
"CARROLL, TENNESSEE",2018,27975
"CARROLL, TENNESSEE",2019,27767
"CARROLL, TENNESSEE",2020,28427
"CARROLL, TENNESSEE",2021,28298
"CARROLL, TENNESSEE",2022,28428
"CARROLL, TENNESSEE",2023,29007
"CARROLL, TENNESSEE",2024,29203
"CARROLL, TENNESSEE",2025,29200
"CARTER, TENNESSEE",2016,56473
"CARTER, TENNESSEE",2017,56510
"CARTER, TENNESSEE",2018,56417
"CARTER, TENNESSEE",2019,56391
"CARTER, TENNESSEE",2020,56391
"CARTER, TENNESSEE",2021,56128
"CARTER, TENNESSEE",2022,56528
"CARTER, TENNESSEE",2023,57047
"CARTER, TENNESSEE",2024,57368
"CARTER, TENNESSEE",2025,57361
"CHEATHAM, TENNESSEE",2016,39775
"CHEATHAM, TENNESSEE",2017,40366
"CHEATHAM, TENNESSEE",2018,40502
"CHEATHAM, TENNESSEE",2019,40667
"CHEATHAM, TENNESSEE",2020,41088
"CHEATHAM, TENNESSEE",2021,41455
"CHEATHAM, TENNESSEE",2022,41723
"CHEATHAM, TENNESSEE",2023,42223
"CHEATHAM, TENNESSEE",2024,42616
"CHEATHAM, TENNESSEE",2025,42778
"CHESTER, TENNESSEE",2016,17130
"CHESTER, TENNESSEE",2017,17154
"CHESTER, TENNESSEE",2018,17245
"CHESTER, TENNESSEE",2019,17297
"CHESTER, TENNESSEE",2020,17379
"CHESTER, TENNESSEE",2021,17481
"CHESTER, TENNESSEE",2022,17577
"CHESTER, TENNESSEE",2023,17712
"CHESTER, TENNESSEE",2024,17841
"CHESTER, TENNESSEE",2025,17994
"CLAIBORNE, TENNESSEE",2016,31634
"CLAIBORNE, TENNESSEE",2017,31661
"CLAIBORNE, TENNESSEE",2018,31850
"CLAIBORNE, TENNESSEE",2019,31959
"CLAIBORNE, TENNESSEE",2020,32075
"CLAIBORNE, TENNESSEE",2021,32047
"CLAIBORNE, TENNESSEE",2022,32371
"CLAIBORNE, TENNESSEE",2023,32667
"CLAIBORNE, TENNESSEE",2024,32940
"CLAIBORNE, TENNESSEE",2025,33229
"CLAY, TENNESSEE",2016,7654
"CLAY, TENNESSEE",2017,7663
"CLAY, TENNESSEE",2018,7677
"CLAY, TENNESSEE",2019,7615
