BEGIN_DATE_TIME,END_DATE_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE
08-JUL-16 17:55:00,08-JUL-16 17:55:00,105872,635287,Thunderstorm Wind,C,105,LOUDON,MRX,EST-5,0,0,0,0,0,0,Public,50.0,EG,,,,,,,,0.56,W,JENA,0.56,W,JENA,35.65,-84.18,35.65,-84.18,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,Numerous trees were reported down in the Greenback area.
08-JUL-16 18:10:00,08-JUL-16 18:10:00,105872,635296,Thunderstorm Wind,C,155,SEVIER,MRX,EST-5,0,0,0,0,0,0,State Official,60.0,EG,,,,,,,,1.32,WSW,PITNER,1.32,WSW,PITNER,35.87,-83.77,35.87,-83.77,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,Numerous trees were reported down in Seymour. A few homes suffered minor structural damage while the roof was removed from the Dollar General Store on highway 441.
08-JUL-16 19:10:00,08-JUL-16 19:10:00,105872,635301,Thunderstorm Wind,C,7,BLEDSOE,MRX,CST-6,0,0,0,0,0,0,State Official,50.0,EG,,,,,,,,1.38,S,DILL,1.38,S,DILL,35.56,-85.2,35.56,-85.2,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,Several trees were reported down across the southern part of the county.
08-JUL-16 18:40:00,08-JUL-16 18:40:00,105872,635299,Thunderstorm Wind,C,123,MONROE,MRX,EST-5,0,0,0,0,0,0,State Official,50.0,EG,,,,,,,,0.69,N,TELLICO PLAINS,0.69,N,TELLICO PLAINS,35.38,-84.3,35.38,-84.3,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,A few trees were reported down one mile north of Tellico Plains.
14-JUL-16 15:40:00,14-JUL-16 15:40:00,105948,635802,Hail,C,93,KNOX,MRX,EST-5,0,0,0,0,0,0,Trained Spotter,1.5,,,,,,,,,1.32,ENE,LOVELL,1.32,ENE,LOVELL,35.91,-84.13,35.91,-84.13,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Ping pong ball size hail was reported.
14-JUL-16 15:40:00,14-JUL-16 15:40:00,105948,635803,Thunderstorm Wind,C,93,KNOX,MRX,EST-5,0,0,0,0,0,0,Broadcast Media,50.0,EG,,,,,,,,1.12,E,AMHERST,1.12,E,AMHERST,35.95,-84.01,35.95,-84.01,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,A tree fell onto a car four miles west southwest of Knoxville.
14-JUL-16 15:45:00,14-JUL-16 15:45:00,105948,635804,Thunderstorm Wind,C,123,MONROE,MRX,EST-5,0,0,0,0,0,0,State Official,50.0,EG,,,,,,,,0.0,N,TELLICO PLAINS,0.0,N,TELLICO PLAINS,35.37,-84.3,35.37,-84.3,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Two trees were reported in Tellico Plains.
14-JUL-16 15:56:00,14-JUL-16 15:56:00,105948,635805,Thunderstorm Wind,C,93,KNOX,MRX,EST-5,0,0,0,0,0,0,Public,50.0,EG,,,,,,,,0.69,N,COSTER,0.69,N,COSTER,35.99,-83.93,35.99,-83.93,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,A tree was reported down on a home one mile northeast of Knoxville.
14-JUL-16 16:04:00,14-JUL-16 16:04:00,105948,635807,Thunderstorm Wind,C,107,MCMINN,MRX,EST-5,0,0,0,0,0,0,State Official,50.0,EG,,,,,,,,1.12,E,CLEARWATER,1.12,E,CLEARWATER,35.5,-84.65,35.5,-84.65,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Several trees were reported down across the county.
14-JUL-16 17:54:00,14-JUL-16 17:54:00,105948,635808,Thunderstorm Wind,C,59,GREENE,MRX,EST-5,0,0,0,0,0,0,State Official,50.0,EG,,,,,,,,0.56,E,GREENEVILLE,0.56,E,GREENEVILLE,36.17,-82.82,36.17,-82.82,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,One tree was reported down.
11-APR-16 12:00:00,11-APR-16 16:00:00,104777,627395,Strong Wind,Z,27,DAVIDSON,OHX,CST-6,0,0,0,0,3000,0,ASOS,43.0,MG,,,,,,,,,,,,,,,,,,Strong southerly gradient winds up to 50 mph affected the Nashville metro during the afternoon hours on April 6. A few trees were reportedly blown down across Davidson County.,"Strong southerly gradient winds affected the Nashville metro during the afternoon hours on April 6. A peak wind gust of 49 mph (43 knots) was measured at the Nashville International Airport ASOS at 145 PM CDT. A few trees were blown down across Davidson County, including a tree blown down in front of the Blair School of Music on the Vanderbilt University campus, and a large tree blown down in the yard of a home in Hermitage."
27-APR-16 15:33:00,27-APR-16 15:33:00,104778,627396,Thunderstorm Wind,C,85,HUMPHREYS,OHX,CST-6,0,0,0,0,3000,0,911 Call Center,52.0,EG,,,,,,,,0.0,N,WAVERLY,0.0,N,WAVERLY,36.08,-87.8,36.08,-87.8,"Scattered showers and thunderstorms developed across Middle Tennessee during the afternoon and evening hours on April 27. A few storms became strong to severe, with several reports of wind damage received.",A few trees were blown down in Waverly.
