FATALITY_DATE,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
07/08/2016 00:,30294,635269,D,66.0,F,Outside/Open Areas
07/08/2016 00:,30292,635264,D,60.0,M,Camping
07/08/2016 00:,30293,635264,D,47.0,F,Camping
05/04/2016 00:,30198,627799,D,64.0,M,Vehicle/Towed Trailer
07/14/2016 00:,31229,638992,D,65.0,F,Under Tree
08/05/2016 00:,31263,654247,D,53.0,F,Permanent Home
08/02/2016 00:,31266,654249,D,76.0,M,Vehicle/Towed Trailer
06/24/2016 00:,31487,654248,D,47.0,M,Outside/Open Areas
07/20/2016 00:,31489,657571,D,65.0,M,Permanent Home
08/25/2016 00:,31490,657762,I,21.0,M,Heavy Equipment/Construction
11/30/2016 00:,31607,662323,D,,M,Mobile/Trailer Home
11/30/2016 00:,31608,662323,D,,F,Mobile/Trailer Home
04/30/2017 00:,33183,683065,D,43.0,F,Under Tree
04/30/2017 00:,33274,694328,D,2.0,F,Outside/Open Areas
06/30/2017 00:,33428,700794,I,,F,Permanent Home
01/02/2018 00:,35175,733015,D,45.0,F,Outside/Open Areas
05/28/2018 00:,35476,754296,D,7.0,M,Under Tree
09/26/2018 00:,36136,787252,D,61.0,F,Outside/Open Areas
07/06/2018 00:,36053,784196,D,75.0,M,Outside/Open Areas
07/04/2018 00:,35899,773052,D,46.0,F,Vehicle/Towed Trailer
07/14/2018 00:,35900,773285,D,40.0,M,Under Tree
05/26/2018 00:,35574,761444,D,2.0,,In Water
12/28/2018 00:,37367,798906,D,30.0,F,Camping
05/23/2018 00:,39394,847160,D,1.0,F,Vehicle/Towed Trailer
11/06/2018 00:,40814,794526,D,41.0,F,Permanent Home
02/21/2019 00:,37912,811049,D,62.0,M,Vehicle/Towed Trailer
02/24/2019 00:,38233,810342,D,59.0,M,Vehicle/Towed Trailer
07/20/2019 00:,39386,846821,D,18.0,M,Ball Field
02/06/2019 00:,37885,809854,D,53.0,F,Outside/Open Areas
07/11/2019 00:,39389,846958,D,3.0,M,Vehicle/Towed Trailer
10/21/2019 00:,39879,862107,I,16.0,M,Vehicle/Towed Trailer
10/26/2019 00:,39953,862623,D,63.0,M,Outside/Open Areas
12/29/2019 00:,40696,873433,D,55.0,M,Outside/Open Areas
03/03/2020 00:,41143,883016,D,68.0,M,Permanent Home
