YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE
201607,105872,635287,1,0.56,W,JENA,35.65,-84.18
201607,105872,635296,1,1.32,WSW,PITNER,35.87,-83.77
201607,105872,635301,1,1.38,S,DILL,35.56,-85.2
201607,105872,635299,1,0.69,N,TELLICO PLAINS,35.38,-84.3
201607,105948,635802,1,1.32,ENE,LOVELL,35.91,-84.13
201607,105948,635803,1,1.12,E,AMHERST,35.95,-84.01
201607,105948,635804,1,0.0,N,TELLICO PLAINS,35.37,-84.3
201607,105948,635805,1,0.69,N,COSTER,35.99,-83.93
201607,105948,635807,1,1.12,E,CLEARWATER,35.5,-84.65
201607,105948,635808,1,0.56,E,GREENEVILLE,36.17,-82.82
201604,104778,627396,1,0.0,N,WAVERLY,36.08,-87.8
201604,104778,627397,1,0.0,N,MC EWEN,36.12,-87.63
201604,104778,627398,1,2.03,SE,OAKRIDGE,36.3761,-87.4489
201607,105914,635570,1,0.89,SW,NORTHPORT,35.96,-83.19
201607,105915,635575,1,0.0,N,ATHENS,35.45,-84.6
201607,105948,635798,1,1.33,ESE,GLOVER HILL,35.06,-85.63
201607,105948,635799,1,0.69,S,BRAYTON,35.47,-85.18
201607,105948,635800,1,0.89,SW,FARRAGUT,35.87,-84.18
201607,105948,635801,1,0.89,SW,FARRAGUT,35.87,-84.18
201604,104778,627399,1,0.48,S,CLARKSVILLE,36.5232,-87.3512
201604,104778,627401,1,2.21,NW,PINNACLE,36.3721,-86.9588
201607,105914,635567,1,0.0,N,WEST KNOXVILLE,35.97,-83.95
201606,106408,638796,1,0.69,N,CASH PT,35.03,-86.82
201606,105138,640624,1,1.13,E,LYNCHBURG,35.28,-86.36
201606,105138,640631,1,1.71,NNW,MIMOSA,35.2419,-86.5443
201606,105138,640634,1,5.27,WSW,LOIS,35.2106,-86.4603
201606,105138,640636,1,0.49,SW,BELLEVIEW,35.0454,-86.6066
201606,105138,640637,1,0.56,W,FAYETTEVILLE,35.15,-86.59
201606,105138,640639,1,0.57,W,KIRKLAND,35.07,-86.64
201606,105138,640640,1,1.59,NNE,BLANCHE,35.0706,-86.7574
201606,105138,640642,1,0.89,SW,LINCOLN,35.01,-86.53
201606,105138,640643,1,1.14,SSW,MOLINO,35.1052,-86.6889
201606,105138,640644,1,1.28,NNW,LINCOLN,35.037,-86.5291
201612,112568,671604,1,3.05,N,SILVER BOTTOM,36.2736,-86.5112
201612,112568,671562,1,2.21,ESE,HENDERSONVILLE,36.2699,-86.5824
201603,104062,622531,1,1.22,W,LOIS,35.2288,-86.3916
201607,107251,643311,2,1.34,ENE,MICHIE,35.0598,-88.4296
201607,107251,643311,1,0.91,N,MICHIE,35.0632,-88.4485
201607,107254,643431,1,1.21,SE,OAKVILLE,35.0563,-89.9367
201607,107254,643431,2,2.26,NNE,CAPLEVILLE,35.0498,-89.9037
201607,107254,643437,1,1.0,N,ROSEMARK,35.3845,-89.78
201607,107254,643440,1,1.44,SSW,IDAVILLE,35.4103,-89.7284
201607,107254,643440,2,1.56,S,IDAVILLE,35.4077,-89.7157
201602,103313,617419,1,0.89,SW,SWEETWATER,35.59,-84.48
201602,103313,617420,1,0.56,W,JENA,35.65,-84.18
201602,103313,617421,1,0.89,SW,FARRAGUT,35.87,-84.18
201602,103313,617423,1,0.69,N,SOUTH CLINTON,36.09,-84.13
201602,103313,617424,1,0.69,N,SOUTH CLINTON,36.09,-84.13
201602,103313,617425,1,0.69,N,SOUTH CLINTON,36.09,-84.13
201602,103313,617427,1,0.0,N,WEST KNOXVILLE,35.97,-83.95
201602,103313,617428,1,0.56,W,MAYNARDVILLE,36.25,-83.81
201607,105863,635129,1,1.31,ESE,TATE SPGS,36.32,-83.31
201607,105863,635130,1,0.56,W,MOHAWK,36.2,-83.06
201607,105863,635131,1,0.56,E,GREENEVILLE,36.17,-82.82
201607,105863,635132,1,0.57,W,CHICKAMAUGA,35.07,-85.26
201607,105863,635133,1,0.89,NE,ELIZABETHTON,36.36,-82.21
201607,105869,635152,1,1.68,E,SARATOGA SPGS,35.72,-85.2
201607,105869,635155,1,0.89,SE,BUCKEYE,36.41,-84.29
201607,105869,635153,1,0.56,E,ONEIDA,36.5,-84.51
201607,105869,635154,1,0.69,S,SUNBRIGHT,36.24,-84.67
201607,105863,635120,1,0.0,N,SWEETWATER,35.6,-84.47
201607,105863,635121,1,1.49,NNE,HICKORY STAR LNDG,36.3,-83.81
201607,105863,635122,1,0.89,NW,ROGERSVILLE,36.41,-83.01
201607,105863,635123,1,1.81,ENE,LYONTON,36.06,-83.69
201607,105863,635124,1,2.87,WSW,ALPHA,36.17,-83.43
201602,103519,618742,1,1.81,NNW,MEMPHIS,35.1529,-90.0357
201602,103519,618742,2,2.0,SSW,NORTH,35.1528,-90.042
201602,103519,618742,3,1.94,NW,MEMPHIS,35.1494,-90.0448
201602,103519,618742,4,1.58,NW,MEMPHIS,35.1486,-90.0362
201602,103519,618743,3,1.18,NNE,MASON,35.4363,-89.5436
201602,103519,618743,4,1.49,SE,MASON,35.4036,-89.5327
201602,103519,618743,1,1.21,SE,GAINESVILLE,35.4091,-89.6033
201602,103519,618743,2,0.62,SSE,CANAAN GROVE,35.4412,-89.5975
201602,103543,618850,1,2.42,SSW,HINKLE,35.3896,-88.3412
201602,103543,618850,2,2.48,SSW,HINKLE,35.3895,-88.3434
201602,103543,618850,3,2.59,SSW,HINKLE,35.3874,-88.3428
201602,103543,618850,4,2.54,SSW,HINKLE,35.3873,-88.3405
201602,102691,614168,1,2.0,N,DUNLAP,35.409,-85.38
201602,102691,614168,2,2.0,SE,DUNLAP,35.3595,-85.3549
201602,102691,614168,3,4.0,S,DUNLAP,35.3221,-85.38
201602,102691,614168,4,2.0,WSW,DUNLAP,35.3689,-85.4128
201602,102691,614169,1,7.0,N,PIKEVILLE,35.7013,-85.2
201602,102691,614169,2,7.0,NE,PIKEVILLE,35.6716,-85.1119
201602,102691,614169,3,7.0,S,PIKEVILLE,35.4987,-85.2
201602,102691,614169,4,7.0,SW,PIKEVILLE,35.5284,-85.2881
201602,102691,614171,1,2.0,NNW,PHILADELPHIA,35.7067,-84.4136
201602,102691,614171,2,3.0,WNW,PHILADELPHIA,35.6966,-84.4494
201602,102691,614171,3,3.5,WSW,PHILADELPHIA,35.6606,-84.4576
201602,102691,614171,4,3.0,WSW,PHILADELPHIA,35.6634,-84.4494
201602,102691,617473,1,1.49,SSW,TIPTOP,35.61,-85.23
201602,102691,617474,1,0.89,SW,DUNLAP,35.37,-85.39
201602,102691,617475,1,0.69,S,BRAYTON,35.47,-85.18
201602,102691,617476,1,0.89,NE,DECATUR,35.53,-84.79
201607,105863,635115,1,0.89,NW,LOUDON,35.74,-84.36
201607,105863,635116,1,0.56,W,JENA,35.65,-84.18
201607,105863,635117,1,0.0,N,ATHENS,35.45,-84.6
201607,105863,635118,1,0.56,W,FORDTOWN,36.37,-84.13
201607,105863,635119,1,0.69,N,SOUTH CLINTON,36.09,-84.13
201602,103519,618744,1,1.55,NW,CROSS RD,35.7673,-89.1677
201602,103519,618744,2,1.9,SE,CAIRO,35.801,-89.1456
201602,102691,617477,1,0.89,SE,MORGANTOWN,35.49,-85.01
201602,102691,617478,1,2.36,SSE,WATTS BAR LAKE NORTH,35.79,-84.58
201602,102691,617479,1,1.33,ESE,GLOVER HILL,35.06,-85.63
201607,105869,635162,1,1.49,NNW,KEISTER,36.14,-83.46
201607,105869,635163,1,0.56,W,JEFFERSON CITY,36.12,-83.49
201607,105869,635164,1,0.69,S,CATLETTSBURG,35.89,-83.58
201607,105869,635165,1,1.31,WNW,BRIDGEPORT,35.96,-83.14
201601,103156,616391,1,0.0,N,BURLISON,35.57,-89.78
201607,105863,635125,1,1.31,WSW,MORRISTOWN,36.21,-83.3
201607,105863,635128,1,0.0,N,BAILEYTON,36.33,-82.83
201607,105872,635284,1,0.89,NW,LOUDON,35.74,-84.36
201607,105872,635292,1,0.0,N,ELKMONT,35.65,-83.58
201607,105872,635187,1,0.89,SW,AUSMUS,36.56,-83.94
201607,105872,635191,1,1.31,WSW,GLADES,36.24,-84.8
201607,105863,635114,1,4.0,W,BIG SPG,35.39,-84.99
201607,105869,635156,1,0.0,N,CLAIRFIELD,36.55,-83.95
201607,105869,635157,1,0.56,E,MADISONVILLE,35.52,-84.36
201607,105869,635158,1,0.89,NW,LINE SPG,35.71,-83.66
201607,105869,635159,1,0.56,W,MAYNARDVILLE,36.25,-83.81
201607,105869,635160,1,0.89,NW,LINE SPG,35.71,-83.66
201607,105869,635161,1,0.89,SW,FARRAGUT,35.87,-84.18
201604,104077,622620,1,2.0,ESE,MULBERRY,35.2089,-86.4373
201603,104165,623417,1,3.67,WNW,ANTHONY HILL,35.1456,-87.1821
201603,104165,623417,2,1.61,ESE,BUNKER HILL,35.1407,-86.8538
201603,104165,623417,3,0.69,WSW,ARDMORE,34.9974,-86.8617
201603,104165,623417,4,3.42,SW,MARBUTS,35.0017,-87.2196
201602,103519,618741,1,0.72,SSW,SHELBY CENTER,35.1704,-89.8551
201602,103519,618741,2,0.91,NNE,BERCLAIR,35.162,-89.9135
201602,103519,618741,3,1.66,NNE,WHITE STATION,35.1404,-89.8846
201602,103519,618741,4,1.45,SSE,SHELBY CENTER,35.1603,-89.841
201602,103794,620555,1,1.29,ESE,NORTH HIGHLAND,35.3201,-87.5807
201602,103794,620554,1,2.85,ESE,CLARKSVILLE,36.5217,-87.2997
201602,103794,620559,1,0.31,NNW,BURNS,36.0538,-87.3229
201602,103794,620559,2,1.34,E,BURNS,36.0477,-87.2962
201602,103794,620559,3,1.37,WSW,EAST SIDE,36.024,-87.2934
201602,103794,620559,4,1.39,NNW,IRON HILL,35.9997,-87.3252
201602,103794,620559,5,1.87,WSW,MT SINAI,35.9872,-87.4295
201602,103794,620559,6,1.79,NNW,MT SINAI,36.0244,-87.4107
201602,103794,620560,1,3.34,NNE,BIG ROCK,36.6267,-87.7341
201602,103794,620560,2,3.04,SE,CARLISLE,36.396,-87.7354
201602,103794,620560,3,8.76,SSE,FT HENRY,36.364,-87.9565
201602,103794,620560,4,1.93,S,FT HENRY,36.4524,-88.0252
201602,103794,620560,5,3.8,SW,MODEL,36.6047,-88.0087
201602,103794,620562,1,0.0,N,SPRING HILL,35.75,-86.93
201602,103794,620563,1,0.0,N,SPRING HILL,35.75,-86.93
201602,103794,620564,1,0.52,S,ASHLAND CITY,36.2724,-87.0698
201602,103794,620564,2,0.61,ESE,ASHLAND CITY,36.2756,-87.0605
201602,103794,620564,3,1.22,NNE,SULPHUR SPGS,36.2652,-87.0389
201602,103794,620564,4,0.7,NNE,SULPHUR SPGS,36.2586,-87.0434
201602,103794,620564,5,1.14,NW,SULPHUR SPGS,36.261,-87.0651
201602,103794,620567,1,1.45,S,LOCKERTSVILLE,36.329,-87.1197
201602,103794,620567,2,0.89,NNW,SYCAMORE,36.3318,-87.0566
201602,103794,620567,3,0.66,SSW,SYCAMORE,36.3107,-87.0529
201602,103794,620567,4,2.09,NNE,GREENBRIER,36.3093,-87.1106
201602,103794,620569,1,0.0,N,BURNS,36.05,-87.32
201602,103794,620570,1,1.68,NNW,BAKERSWORKS,36.101,-87.2851
201602,103794,620571,1,3.01,NNE,PINEWOOD,35.9626,-87.4689
201602,103794,620571,2,3.2,NNE,PINEWOOD,35.9589,-87.4488
201602,103794,620571,3,1.07,E,PINEWOOD,35.9184,-87.461
201602,103794,620571,4,0.41,WNW,PINEWOOD,35.9219,-87.4869
201603,104162,623394,1,1.61,SE,PLEASANT VIEW,36.4861,-85.0566
201603,104163,623395,1,0.0,N,COOKEVILLE,36.17,-85.5
201603,104165,623397,1,1.38,S,BERRY,36.16,-87.38
201603,104104,622747,1,0.89,NE,ROSE HILL,36.31,-83.76
201603,104303,624623,1,1.32,NNE,CANAAN GROVE,35.4685,-89.5942
201603,104306,624632,1,1.99,NNE,GANN,36.0279,-88.7209
201603,104306,624633,1,2.17,ESE,SKULLBONE,36.0691,-88.7335
201603,104306,624637,1,1.27,WSW,GISMONDA,35.9651,-88.1419
201603,104306,624637,2,0.75,ENE,GISMONDA,35.9752,-88.1082
201603,104165,623400,1,3.21,N,HOHENWALD BAKER ARPT,35.5957,-87.6105
201603,104165,623400,2,2.7,N,HOHENWALD BAKER ARPT,35.5891,-87.6008
201603,104165,623399,1,5.03,WSW,HOHENWALD BAKER ARPT,35.5344,-87.6875
201603,104165,623399,2,4.75,WSW,HOHENWALD BAKER ARPT,35.5315,-87.6813
201603,104165,623401,1,1.18,ENE,HOHENWALD,35.5567,-87.5508
201603,104165,623402,1,0.0,N,PLEASANT VIEW,36.4,-87.03
201603,104165,623404,1,0.51,S,CROSSROADS,35.0626,-87.7288
201603,104165,623403,1,1.2,N,CRUNK,36.4371,-86.8836
201603,104165,623405,1,0.0,N,CROSS PLAINS,36.55,-86.7
201603,104165,623406,1,1.34,SSW,CROSS BRIDGES,35.6036,-87.2327
201603,104165,623406,2,0.86,SE,CROSS BRIDGES,35.6121,-87.2083
201603,104165,623407,1,1.35,WSW,WESTWOOD,35.5944,-87.103
201603,104165,623407,2,1.39,SE,WESTWOOD,35.5835,-87.0658
201603,104392,625249,1,0.0,N,HALLS,35.87,-89.4
201603,104392,625250,1,0.0,N,DRUMMONDS,35.47,-89.92
201603,104392,625250,2,0.0,N,ATOKA,35.43,-89.78
201603,104392,625251,1,0.0,N,ATOKA,35.43,-89.78
201603,104392,625251,2,2.0,SE,BRIGHTON,35.4595,-89.7049
201603,104165,623408,1,1.38,N,WESTWOOD,35.62,-87.08
201603,104165,623409,1,2.03,WNW,LEFTWICH,35.5799,-86.9041
201603,104165,623410,1,1.48,E,GOODLETTSVILLE,36.319,-86.6935
201603,104165,623411,1,3.72,NW,MARBUTS,35.0692,-87.2152
201603,104165,623411,2,4.01,NW,MINOR HILL,35.0962,-87.1931
201603,104165,623412,1,1.58,NNE,MURFREESBORO,35.8716,-86.4105
201603,104392,625252,1,0.0,N,MILLINGTON,35.35,-89.9
201603,104392,625253,1,0.77,E,KERRVILLE,35.3788,-89.8563
201603,104392,625253,2,1.72,E,KERRVILLE,35.379,-89.8394
201603,104392,625263,1,0.0,N,JACKSON,35.62,-88.83
201603,104392,625263,2,2.23,WSW,GILMORE,35.6629,-88.8537
201603,104392,625267,1,2.0,E,HENDERSON,35.43,-88.6345
201603,104392,625269,1,1.21,SW,ROBY,35.4576,-88.4351
201603,104392,625269,2,0.93,WSW,CENTER PT,35.4674,-88.3962
201603,104165,623413,1,0.33,NW,APPLETON,35.0237,-87.2336
201603,104165,623414,1,0.0,N,SMITHVILLE MUNI ARPT,35.98,-85.8
201603,104165,623415,1,0.0,N,LEOMA,35.17,-87.35
201603,104165,623416,1,2.26,E,IRON CITY,35.0155,-87.5404
201603,104165,623416,2,1.67,SSE,FLATWOODS,35.2768,-87.3417
201603,104165,623416,3,3.4,N,LAWRENCEBURG ARPT,35.2789,-87.2435
201603,104165,623416,4,0.54,SSE,APPLETON,35.0124,-87.2276
201603,104392,625270,1,0.0,N,REAGAN,35.52,-88.35
201603,104392,625278,1,0.0,N,SAVANNAH,35.23,-88.25
201603,104392,625282,1,1.84,NNW,COUNCE,35.0756,-88.2889
201603,104392,625282,2,1.61,SSW,PYBURNS,35.0793,-88.2629
201603,104165,623398,1,4.62,E,SUGAR HILL,35.5523,-87.7379
201603,104165,623398,2,7.53,E,SUGAR HILL,35.5344,-87.6875
201603,104248,624051,1,1.05,NNE,WEST JCT,35.0829,-90.0601
201603,104248,624051,2,0.88,NNE,WEST JCT,35.0824,-90.0664
201603,104248,624051,3,0.54,NNE,WEST JCT,35.0772,-90.0666
201603,104248,624051,4,0.75,NE,WEST JCT,35.0774,-90.0602
201603,104303,624620,1,0.74,S,FULTON,35.6094,-89.8785
201603,104303,624620,2,0.0,N,FT PILLOW,35.67,-89.75
201603,104306,624635,1,1.4,SSE,STAFFORDS STORE,36.0817,-88.689
201607,105914,635565,1,0.0,N,WEST KNOXVILLE,35.97,-83.95
201607,105914,635568,1,0.89,SW,BEECH SPGS,35.96,-83.61
201607,105914,635569,1,0.0,N,DANDRIDGE,36.02,-83.42
201604,104108,622760,1,0.69,S,CATLETTSBURG,35.89,-83.58
201603,104483,625941,1,3.25,WSW,DARWIN,35.0036,-90.1737
201603,104483,625941,2,1.09,NNE,NEW SOUTH MEMPHIS,35.1154,-90.0762
201603,104483,625941,3,1.29,ESE,BENJESTOWN,35.2445,-90.0481
201603,104483,625941,4,0.52,WSW,ST PAUL,35.3667,-90.0082
201603,104483,625941,5,1.2,WNW,MADGE,35.3846,-89.7006
201603,104483,625941,6,5.33,ESE,COLLIERVILLE,35.012,-89.588
201603,104483,625942,1,3.99,N,UNION CITY,36.4771,-89.0387
201603,104483,625942,2,2.24,S,WOODLAND MILLS,36.4677,-89.1218
201603,104483,625942,3,1.17,N,MC ANNA,36.397,-89.1493
201603,104483,625942,4,1.13,ESE,RIVES,36.3655,-89.0305
201603,104483,625942,5,1.32,E,SUNNYSIDE,36.3793,-88.9563
201603,104483,625942,6,0.95,E,HARRIS,36.4511,-88.933
201607,105872,635208,1,0.56,W,SURGOINSVILLE,36.47,-82.86
201607,105872,635209,1,2.33,ESE,MOORESBURG,36.34,-83.18
201607,105872,635210,1,3.63,WSW,SCARBORO,35.96,-84.28
201604,104108,622761,1,0.69,S,CATLETTSBURG,35.89,-83.58
201604,104108,622762,1,1.13,E,EAST CLEVELAND,35.18,-84.83
201604,104108,622763,1,2.36,SSW,MARSHALL HILL,35.5,-84.62
201604,104108,622764,1,1.32,WSW,PITNER,35.87,-83.77
201604,104109,622767,1,1.32,ENE,SULPHUR SPGS,35.18,-85.48
201603,104483,625943,2,1.01,NNE,TRENTON,35.993,-88.9216
201603,104483,625943,3,0.86,SW,DAVIDSON CHAPEL,36.0116,-88.8614
201603,104483,625943,4,1.08,W,MOORES CHAPEL,35.9474,-88.8691
201603,104483,625943,5,1.98,NE,FRUITLAND,35.9208,-88.9055
201603,104483,625943,1,0.0,N,TRENTON,35.98,-88.93
201603,104483,626287,1,0.0,N,CHESTNUT BLUFF,35.87,-89.33
201603,104483,626287,2,0.0,N,ELMORE,35.8,-89.33
201603,104483,626287,3,1.38,SW,BELLS,35.7075,-89.0991
201603,104483,626287,4,3.48,SSW,GUM FLAT,35.6738,-89.0045
201603,104483,626287,5,1.79,ESE,MASON GROVE,35.7613,-88.94
201603,104483,626287,6,0.0,ESE,COXVILLE,35.83,-89.02
201603,104483,626287,7,0.0,ESE,ELIZABETH,35.97,-89.18
201603,104483,626294,1,1.27,S,JACKSON,35.6016,-88.8286
201603,104483,626294,2,1.18,WSW,EAST UNION,35.5966,-88.8006
201603,104483,626294,3,1.71,SW,PERRY SWITCH,35.5497,-88.7975
201603,104483,626294,4,0.88,S,MALESUS,35.5374,-88.8318
201603,104483,626294,5,1.01,ESE,MADISON HALL,35.563,-88.8643
201603,104483,626294,6,1.78,SE,WESTOVER,35.6004,-88.8595
201604,104737,627240,1,0.0,N,PULASKI,35.2,-87.02
201604,104737,627242,1,0.0,N,ST JOSEPH,35.05,-87.5
201603,104483,626296,1,2.28,NNE,ST PETERS,35.65,-89.3834
201603,104483,626296,2,3.25,SW,ST PETERS,35.5937,-89.4479
201603,104483,626296,3,5.33,SW,ST PETERS,35.5579,-89.4562
201603,104483,626296,4,0.36,WNW,SUNNYHILL,35.5311,-89.2763
201603,104483,626296,5,2.5,E,SUNNYHILL,35.5241,-89.2262
201603,104483,626296,6,2.07,W,WELLWOOD,35.6216,-89.1568
201603,104483,626298,1,1.46,W,DARWIN,35.0233,-90.1456
201603,104483,626298,2,4.7,SE,COLLIERVILLE,35.0098,-89.6031
201603,104483,626298,3,2.9,ENE,ARLINGTON,35.3151,-89.632
201603,104483,626298,4,1.37,W,GILES TOWN,35.3219,-90.0742
201604,104737,627243,1,0.99,SSE,RUTLEDGE HILL,35.3067,-85.9437
201604,104737,627243,2,0.97,SSE,RUTLEDGE HILL,35.307,-85.9435
201604,104737,627243,3,1.01,SSE,RUTLEDGE HILL,35.3066,-85.9429
201604,104737,627243,4,1.02,SSE,RUTLEDGE HILL,35.3063,-85.9431
201604,104739,627244,1,2.35,N,PINEWOOD,35.9536,-87.4863
201604,104739,627245,1,2.55,SSW,FAIRVIEW,35.9448,-87.1339
201604,104739,627246,1,0.0,N,MT PLEASANT,35.53,-87.2
201604,104739,627247,1,0.36,SSW,LINTON,36.0256,-87.0233
201604,104739,627249,1,1.91,ESE,NASHVILLE,36.1631,-86.7469
201604,104739,627250,1,1.81,ENE,NASHVILLE,36.1771,-86.7487
201604,104739,627251,1,2.37,WSW,INGLEWOOD,36.2102,-86.7706
201607,105872,635243,1,0.89,SW,FARRAGUT,35.87,-84.18
201603,103467,618351,1,1.43,NW,HOWELL HILL,35.0828,-86.54
201603,103467,618351,2,1.4,NW,HOWELL HILL,35.0819,-86.54
201603,103467,618351,3,1.29,NW,HOWELL HILL,35.0818,-86.5378
201603,103467,618351,4,1.35,NW,HOWELL HILL,35.0829,-86.5379
201607,105872,635235,1,0.56,W,(TRI)TRI CITY ARPT B,36.48,-82.41
201603,104483,626301,1,0.0,N,FAIRVIEW,35.77,-88.85
201603,104483,626301,2,2.6,N,BEECH BLUFF,35.6374,-88.6542
201603,104483,626301,3,1.31,NE,FIVE PTS,35.5325,-88.6624
201603,104483,626301,4,1.59,SE,NEELY,35.5325,-88.9316
201603,104483,626301,5,2.0,ESE,ADAIR,35.7088,-88.9371
201603,104483,627553,1,1.75,N,JUNO,35.7252,-88.5321
201603,104483,627553,2,0.91,S,UNION CROSS,35.7368,-88.4502
201603,104483,627553,3,2.22,WSW,TIMBER LAKE,35.7108,-88.4379
201603,104483,627553,4,0.44,E,JUNO,35.7011,-88.5223
201604,104739,627355,1,0.44,S,NASHVILLE,36.1637,-86.7801
201604,104739,627356,1,0.0,N,RAYON CITY,36.27,-86.67
201604,104739,627357,1,0.37,N,OAK HILL,36.1053,-86.8192
201604,104739,627358,1,0.43,SSE,GREENLAWN,36.2444,-86.5666
201604,104739,627359,1,0.52,WSW,TULIP GROVE,36.1968,-86.6085
201604,104739,627360,1,1.98,ESE,HENDERSONVILLE,36.2715,-86.586
201604,104739,627369,1,0.87,NE,GREEN HILL,36.2387,-86.5388
201604,104739,627372,1,0.79,NE,GREEN HILL,36.2372,-86.5391
201607,105914,635563,1,0.69,N,SOUTH CLINTON,36.09,-84.13
201603,104483,627556,1,2.46,ESE,HUNTINGDON,35.9911,-88.3774
201603,104483,627556,2,2.84,SSW,ROSSER,35.9918,-88.3691
201603,104483,627556,3,1.89,N,ROSSER,36.0572,-88.3467
201603,104483,627556,4,3.04,SW,CREWS STORE,36.0838,-88.3311
201603,104483,627556,5,0.61,WNW,HICO,36.0728,-88.5104
201603,104483,627556,6,1.78,NE,MC LEMORESVILLE,35.9948,-88.5539
201603,104483,627668,1,2.12,SSE,SHELBY FARMS,35.1416,-89.8562
201603,104483,627668,2,2.22,ENE,WHITE STATION,35.1329,-89.864
201603,104483,627668,3,2.51,NNW,GERMANTOWN,35.1121,-89.8407
201603,104483,627668,4,1.77,N,COLLIERVILLE,35.0756,-89.6711
201603,104483,627668,5,3.12,N,COLLIERVILLE,35.0944,-89.6594
201603,104483,627668,6,3.42,SE,CORDOVA,35.1154,-89.7367
201604,104739,627389,1,0.58,NE,CEDAR GROVE,36.3558,-86.4423
201604,104739,627390,1,2.29,N,SILVER BOTTOM,36.2631,-86.5227
201604,104739,627391,1,0.97,NW,WILLETTE,36.4388,-85.8835
201604,104739,627392,1,0.61,NNE,SOUTH CARTHAGE,36.2574,-85.944
201604,104739,627393,1,0.0,N,CELINA,36.55,-85.5
201607,105872,635314,1,0.69,S,OLDFORT,35.04,-84.73
201603,104483,627739,1,1.23,N,HUMBOLDT,35.8378,-88.921
201603,104483,627739,2,2.56,SW,HUMBOLDT ARPT,35.7782,-88.9069
201603,104483,627739,3,1.17,WSW,LEDBETTER,35.9236,-88.7494
201603,104483,627739,4,0.54,WNW,GANN,36.0036,-88.7386
201603,104483,627739,5,1.72,ENE,WALNUT GROVE,36.1934,-88.9439
201603,104483,627739,6,0.64,SSW,KENTON,36.1912,-89.0236
201603,104483,627777,1,0.0,N,MASON,35.42,-89.55
201603,104483,627777,2,0.88,S,MASON,35.4074,-89.5521
201603,104483,627777,3,1.56,S,GAILOR,35.4077,-89.5245
201603,104483,627777,4,0.43,SSW,GAILOR,35.4247,-89.5242
201603,104483,627971,1,0.64,E,KENTON,36.2003,-89.0085
201603,104483,627971,2,1.11,SE,KENTON,36.1888,-89.0059
201603,104483,627971,3,1.32,WNW,WALNUT GROVE,36.1894,-88.9906
201603,104483,627971,4,1.41,E,KENTON,36.2021,-88.9949
201603,104483,627988,1,0.17,N,HYNDSVER,36.3725,-88.7702
201603,104483,627988,2,0.12,SSW,HYNDSVER,36.3684,-88.7705
201603,104483,627988,3,0.62,W,HYNDSVER,36.3688,-88.781
201603,104483,627988,4,0.63,WNW,HYNDSVER,36.3727,-88.7809
201603,104483,627990,1,2.23,NW,PILLOWVILLE,36.1734,-88.6974
201603,104483,627990,2,2.06,NW,PILLOWVILLE,36.1703,-88.6972
201603,104483,627990,3,1.87,NW,PILLOWVILLE,36.1701,-88.6925
201603,104483,627990,4,2.08,NW,PILLOWVILLE,36.1741,-88.6925
201603,104483,628710,1,1.73,W,LICK CREEK,36.3176,-88.051
201603,104483,628710,2,1.18,E,LICK CREEK,36.3229,-87.9991
201603,104483,628710,3,0.79,SSE,ROCKPORT,35.9203,-88.0225
201603,104483,628710,4,2.56,NNW,HOLLADAY,35.9058,-88.1619
201603,104483,628710,5,1.44,SW,LIBERTY,36.083,-88.1351
201607,105872,635245,1,0.56,E,KINGSTON,35.87,-84.51
201607,105872,635248,1,1.31,WNW,JOHNSON CITY,36.33,-82.37
201607,105872,635269,1,0.89,NE,ROCKY HILL,35.91,-84.02
201603,104483,628711,1,4.74,W,JACKS CREEK,35.482,-88.613
201603,104483,628711,2,3.32,E,HENDERSON,35.4235,-88.6116
201603,104483,628711,3,2.4,SSW,JACKS CREEK,35.4384,-88.5477
201603,104483,628711,4,2.97,WNW,JACKS CREEK,35.4837,-88.58
201603,104483,628712,1,0.99,WSW,JENKINSVILLE,36.0445,-89.4364
201603,104483,628712,2,0.78,SW,HAWKINSVILLE,35.8918,-89.3097
201603,104483,628712,3,0.4,SSW,LAPATA,36.0751,-89.1837
201603,104483,628712,4,0.83,E,TRIMBLE,36.2,-89.165
201603,104483,628712,5,0.9,WSW,TRIMBLE,36.1945,-89.1946
201603,104483,628713,1,2.01,NNE,PIPERTON,35.0774,-89.6181
201603,104483,628713,2,0.85,NNE,PIPERTON,35.0612,-89.6239
201603,104483,628713,3,1.74,ESE,PIPERTON,35.0393,-89.6021
