EPISODE_ID,EVENT_ID,EPISODE_NARRATIVE,EVENT_NARRATIVE
105872,635287,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,Numerous trees were reported down in the Greenback area.
105872,635296,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,Numerous trees were reported down in Seymour. A few homes suffered minor structural damage while the roof was removed from the Dollar General Store on highway 441.
105872,635301,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,Several trees were reported down across the southern part of the county.
105872,635299,The combination of summer heating and high low level moisture content provided the necessary conditions to create a highly unstable environment across the Southern Appalachian region. The instability and more than adequate upper level west to northwesterly flow allowed an mesoscale convective system to remain quite strong as it moved east across the area. Downburst winds in some areas were in the 60 to 70 mile an hour range with speeds as high as 80 miles an hour estimated. Trees were downed across a broad area and resulted in the deaths of three people.,A few trees were reported down one mile north of Tellico Plains.
105948,635802,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Ping pong ball size hail was reported.
105948,635803,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,A tree fell onto a car four miles west southwest of Knoxville.
105948,635804,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Two trees were reported in Tellico Plains.
105948,635805,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,A tree was reported down on a home one mile northeast of Knoxville.
105948,635807,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Several trees were reported down across the county.
105948,635808,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,One tree was reported down.
104777,627395,Strong southerly gradient winds up to 50 mph affected the Nashville metro during the afternoon hours on April 6. A few trees were reportedly blown down across Davidson County.,"Strong southerly gradient winds affected the Nashville metro during the afternoon hours on April 6. A peak wind gust of 49 mph (43 knots) was measured at the Nashville International Airport ASOS at 145 PM CDT. A few trees were blown down across Davidson County, including a tree blown down in front of the Blair School of Music on the Vanderbilt University campus, and a large tree blown down in the yard of a home in Hermitage."
104778,627396,"Scattered showers and thunderstorms developed across Middle Tennessee during the afternoon and evening hours on April 27. A few storms became strong to severe, with several reports of wind damage received.",A few trees were blown down in Waverly.
104778,627397,"Scattered showers and thunderstorms developed across Middle Tennessee during the afternoon and evening hours on April 27. A few storms became strong to severe, with several reports of wind damage received.",A few scattered trees were blown down in McEwen.
104778,627398,"Scattered showers and thunderstorms developed across Middle Tennessee during the afternoon and evening hours on April 27. A few storms became strong to severe, with several reports of wind damage received.",A tree was blown down across Jim Kim Road at Highway 13.
105914,635570,A few severe thunderstorms developed later in the afternoon across Central East Tennessee in a moderately unstable environment across the region. The convective mode was limited to straight line wind damage from discrete cells.,Two trees were reported down near Newport; one on Highway 160 and another was downed on Highway 321. Another tree was downed in downtown Newport.
105915,635575,Isolated thunderstorms continued to form into the middle evening hours with one storm producing wind damage in Southeast Tennessee.,Two trees were reported down in Athens.
105948,635798,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,A few trees were reported down across the county.
105948,635799,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Several trees were reported down across the southern half of the county.
105948,635800,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Quarter sized hail was reported in Farragut.
105948,635801,An organized area of thunderstorms moved into the region late in the afternoon and early evening hours producing mainly wind damage with some limited reports of large hail.,Two large tree limbs were reported down.
104778,627399,"Scattered showers and thunderstorms developed across Middle Tennessee during the afternoon and evening hours on April 27. A few storms became strong to severe, with several reports of wind damage received.",A tree was blown down on Elder Street in Clarksville.
104778,627401,"Scattered showers and thunderstorms developed across Middle Tennessee during the afternoon and evening hours on April 27. A few storms became strong to severe, with several reports of wind damage received.",A #tSpotter Twitter report indicated a tree was snapped onto Ridge Circle near Old Game Farm Road.
103830,620895,A fast moving storm system brought light snow to the northeastern half of Middle Tennessee during the evening hours on February 10. Snow amounts up to 1.5 inches were reported.,"Snow amounts up to 1 inch were measured across DeKalb County. CoCoRaHS station Smithville 4.9 WSW measured 1.0 inch of snow, while a trained spotter 3 miles east of Smithville measured 0.7 inches of snow."
105914,635567,A few severe thunderstorms developed later in the afternoon across Central East Tennessee in a moderately unstable environment across the region. The convective mode was limited to straight line wind damage from discrete cells.,A metal awning connected to the front of a building on Western Avenue near I-640 was torn off.
102861,614749,"A weak area of low pressure moved northeast along a nearly stationary frontal boundary into the Tennessee valley region, producing mainly light freezing rain during the morning hours of January 20th.","A quarter of an inch of freezing rain accumulation was reported on area roads, trees and power lines at Sewanee, Tennessee."
103836,620939,Strong southerly gradient winds of 35 to 45 mph affected much of Middle Tennessee during the day on February 19. One report of wind damage was received.,A Facebook report inidcated 2 trees were blown down and half of a barn roof was blown off in White Bluff.
103830,620898,A fast moving storm system brought light snow to the northeastern half of Middle Tennessee during the evening hours on February 10. Snow amounts up to 1.5 inches were reported.,Snow amounts up to 1.5 inches were measured across Warren County. CoCoRaHS station McMinnville 8.5 ESE measured 1.4 inches of snow.
