FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
201607,8,0,30294,635269,D,07/08/2016 00:00:00,66.0,F,Outside/Open Areas
201607,8,0,30292,635264,D,07/08/2016 00:00:00,60.0,M,Camping
201607,8,0,30293,635264,D,07/08/2016 00:00:00,47.0,F,Camping
201605,4,0,30198,627799,D,05/04/2016 00:00:00,64.0,M,Vehicle/Towed Trailer
201607,14,0,31229,638992,D,07/14/2016 00:00:00,65.0,F,Under Tree
201608,5,0,31263,654247,D,08/05/2016 00:00:00,53.0,F,Permanent Home
201608,2,0,31266,654249,D,08/02/2016 00:00:00,76.0,M,Vehicle/Towed Trailer
201606,24,0,31487,654248,D,06/24/2016 00:00:00,47.0,M,Outside/Open Areas
201607,20,0,31489,657571,D,07/20/2016 00:00:00,65.0,M,Permanent Home
201608,25,0,31490,657762,I,08/25/2016 00:00:00,21.0,M,Heavy Equipment/Construction
201611,30,0,31607,662323,D,11/30/2016 00:00:00,,M,Mobile/Trailer Home
201611,30,0,31608,662323,D,11/30/2016 00:00:00,,F,Mobile/Trailer Home
201704,30,0,33183,683065,D,04/30/2017 00:00:00,43.0,F,Under Tree
201704,30,0,33274,694328,D,04/30/2017 00:00:00,2.0,F,Outside/Open Areas
201706,30,0,33428,700794,I,06/30/2017 00:00:00,,F,Permanent Home
201801,2,0,35175,733015,D,01/02/2018 00:00:00,45.0,F,Outside/Open Areas
201805,28,0,35476,754296,D,05/28/2018 00:00:00,7.0,M,Under Tree
201809,26,0,36136,787252,D,09/26/2018 00:00:00,61.0,F,Outside/Open Areas
201807,6,0,36053,784196,D,07/06/2018 00:00:00,75.0,M,Outside/Open Areas
201807,4,0,35899,773052,D,07/04/2018 00:00:00,46.0,F,Vehicle/Towed Trailer
201807,14,0,35900,773285,D,07/14/2018 00:00:00,40.0,M,Under Tree
201805,26,0,35574,761444,D,05/26/2018 00:00:00,2.0,,In Water
201812,28,0,37367,798906,D,12/28/2018 00:00:00,30.0,F,Camping
201805,23,0,39394,847160,D,05/23/2018 00:00:00,1.0,F,Vehicle/Towed Trailer
201811,6,0,40814,794526,D,11/06/2018 00:00:00,41.0,F,Permanent Home
201902,21,0,37912,811049,D,02/21/2019 00:00:00,62.0,M,Vehicle/Towed Trailer
201902,24,0,38233,810342,D,02/24/2019 00:00:00,59.0,M,Vehicle/Towed Trailer
201907,20,0,39386,846821,D,07/20/2019 00:00:00,18.0,M,Ball Field
201902,6,0,37885,809854,D,02/06/2019 00:00:00,53.0,F,Outside/Open Areas
201907,11,0,39389,846958,D,07/11/2019 00:00:00,3.0,M,Vehicle/Towed Trailer
