YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201607,105872,635287,1,0.56,W,JENA,35.65,-84.18,3539000,8410800
201607,105872,635296,1,1.32,WSW,PITNER,35.87,-83.77,3552200,8346200
201607,105872,635301,1,1.38,S,DILL,35.56,-85.2,3533600,8512000
201607,105872,635299,1,0.69,N,TELLICO PLAINS,35.38,-84.3,3522800,8418000
201607,105948,635802,1,1.32,ENE,LOVELL,35.91,-84.13,3554600,847800
201607,105948,635803,1,1.12,E,AMHERST,35.95,-84.01,3557000,84600
201607,105948,635804,1,0.0,N,TELLICO PLAINS,35.37,-84.3,3522200,8418000
201607,105948,635805,1,0.69,N,COSTER,35.99,-83.93,3559400,8355800
201607,105948,635807,1,1.12,E,CLEARWATER,35.5,-84.65,3530000,8439000
201607,105948,635808,1,0.56,E,GREENEVILLE,36.17,-82.82,3610200,8249200
201604,104778,627396,1,0.0,N,WAVERLY,36.08,-87.8,364800,8748000
201604,104778,627397,1,0.0,N,MC EWEN,36.12,-87.63,367200,8737800
201604,104778,627398,1,2.03,SE,OAKRIDGE,36.3761,-87.4489,3622566,8726934
201607,105914,635570,1,0.89,SW,NORTHPORT,35.96,-83.19,3557600,8311400
201607,105915,635575,1,0.0,N,ATHENS,35.45,-84.6,3527000,8436000
201607,105948,635798,1,1.33,ESE,GLOVER HILL,35.06,-85.63,353600,8537800
201607,105948,635799,1,0.69,S,BRAYTON,35.47,-85.18,3528200,8510800
201607,105948,635800,1,0.89,SW,FARRAGUT,35.87,-84.18,3552200,8410800
201607,105948,635801,1,0.89,SW,FARRAGUT,35.87,-84.18,3552200,8410800
201604,104778,627399,1,0.48,S,CLARKSVILLE,36.5232,-87.3512,3631392,8721072
201604,104778,627401,1,2.21,NW,PINNACLE,36.3721,-86.9588,3622326,8657528
201607,105914,635567,1,0.0,N,WEST KNOXVILLE,35.97,-83.95,3558200,8357000
201606,106408,638796,1,0.69,N,CASH PT,35.03,-86.82,351800,8649200
201606,105138,640624,1,1.13,E,LYNCHBURG,35.28,-86.36,3516800,8621600
201606,105138,640631,1,1.71,NNW,MIMOSA,35.2419,-86.5443,3514514,8632658
201606,105138,640634,1,5.27,WSW,LOIS,35.2106,-86.4603,3512636,8627618
